ar_id,ar_name,ar_school,ar_prefucture,ar_email,ar_order,assigned_school_gr
1,Αγία Παρασκευή,Αγία Παρασκευή,Αττική,Αγία Παρασκευή,1,Αγία Παρασκευή
2,Παλλήνη,Αγία Παρασκευή,Αττική,Αγία Παρασκευή,2,Παγκράτι
3,Γλυκά Νερά,Αγία Παρασκευή,Αττική,Αγία Παρασκευή,3,Παγκράτι
4,Ανθούσα,Αγία Παρασκευή,Αττική,Αγία Παρασκευή,4,Παγκράτι
5,Νομισματοκοπείο,Αγία Παρασκευή,Αττική,Αγία Παρασκευή,5,Παγκράτι
6,Γέρακας,Αγία Παρασκευή,Αττική,Αγία Παρασκευή,6,Παγκράτι
7,Δάφνη,Άγιος Δημήτριος,Αττική,Παγκράτι,7,Παγκράτι
8,Άγιος Δημήτριος,Άγιος Δημήτριος,Αττική,Παγκράτι,8,Παγκράτι
9,Υμηττός,Άγιος Δημήτριος,Αττική,Παγκράτι,9,Παγκράτι
10,Άλιμος,Άγιος Δημήτριος,Αττική,Παγκράτι,10,Παγκράτι
11,Άνω Καλαμάκι,Άγιος Δημήτριος,Αττική,Παγκράτι,11,Παγκράτι
12,Καλαμάκι,Άγιος Δημήτριος,Αττική,Παγκράτι,12,Παγκράτι
13,Αμπελόκηποι,Αμπελόκηποι,Αττική,Αμπελόκηποι,13,Αμπελόκηποι
14,Νέα Φιλοθέη,Αμπελόκηποι,Αττική,Πετρούπολη,14,Παγκράτι
15,Πανόρμου,Αμπελόκηποι,Αττική,Αμπελόκηποι,15,Αμπελόκηποι
16,Λυκαβητός,Παγκράτι,Αττική,Παγκράτι,16,Παγκράτι
17,Γκύζη,Αμπελόκηποι,Αττική,Αμπελόκηποι,17,Αμπελόκηποι
18,Πεντέλη,Αγία Παρασκευή,Αττική,Αγία Παρασκευή,18,Παγκράτι
19,Νέα Πεντέλη,Αγία Παρασκευή,Αττική,Αγία Παρασκευή,19,Παγκράτι
20,Βριλήσσια,Χαλάνδρι,Αττική,Χαλάνδρι,20,Παγκράτι
21,Μελίσσια,Χαλάνδρι,Αττική,Χαλάνδρι,21,Παγκράτι
22,Γαλάτσι,Αμπελόκηποι,Αττική,Αμπελόκηποι,22,Παγκράτι
23,Λαμπρινή,Αμπελόκηποι,Αττική,Αμπελόκηποι,23,Παγκράτι
24,Ψυχικό,Αμπελόκηποι,Αττική,Αμπελόκηποι,24,Αμπελόκηποι
25,Ριζούπολη,Πετρούπολη,Αττική,galatsi@grapsa.edu.gr,25,Παγκράτι
26,Βάρη,Άγιος Δημήτριος,Αττική,Παγκράτι,26,Παγκράτι
27,Βάρκιζα,Άγιος Δημήτριος,Αττική,Παγκράτι,27,Παγκράτι
28,Βούλα,Άγιος Δημήτριος,Αττική,Παγκράτι,28,Παγκράτι
29,Βουλιαγμένη,Άγιος Δημήτριος,Αττική,Παγκράτι,29,Παγκράτι
30,Γλυφάδα,Άγιος Δημήτριος,Αττική,Παγκράτι,30,Παγκράτι
31,Ανάβυσσος,Άγιος Δημήτριος,Αττική,Παγκράτι,31,Παγκράτι
32,Σαρωνίδα,Άγιος Δημήτριος,Αττική,Παγκράτι,32,Παγκράτι
33,Άνω Γλυφάδα,Άγιος Δημήτριος,Αττική,Παγκράτι,33,Παγκράτι
34,Ελληνικό,Άγιος Δημήτριος,Αττική,Παγκράτι,34,Παγκράτι
35,Άνω Ιλίσια,Ζωγράφου,Αττική,Ζωγράφου,35,Ζωγράφου
36,Γουδί,Αμπελόκηποι,Αττική,Αμπελόκηποι,36,Αμπελόκηποι
37,Ζωγράφου,Ζωγράφου,Αττική,Ζωγράφου,37,Ζωγράφου
38,Ιλίσια,Ζωγράφου,Αττική,Ζωγράφου,38,Ζωγράφου
39,Ηλιούπολη,Άγιος Δημήτριος,Αττική,Παγκράτι,39,Παγκράτι
40,Αργυρούπολη,Άγιος Δημήτριος,Αττική,Παγκράτι,40,Παγκράτι
41,Άγιοι Ανάργυροι,Πετρούπολη,Αττική,Πετρούπολη,41,Παγκράτι
42,Ίλιον,Πετρούπολη,Αττική,Πετρούπολη,42,Παγκράτι
43,Καματερό,Πετρούπολη,Αττική,Πετρούπολη,43,Παγκράτι
44,Πετρούπολη,Πετρούπολη,Αττική,Πετρούπολη,44,Παγκράτι
45,Νέα Χαλκηδόνα,Πετρούπολη,Αττική,galatsi@grapsa.edu.gr,45,Παγκράτι
46,Άνω Λιόσσια,Πετρούπολη,Αττική,Πετρούπολη,46,Παγκράτι
47,Καλλιθέα,Καλλιθέα,Αττική,Καλλιθέα,47,Καλλιθέα
48,Κουκάκι,Καλλιθέα,Αττική,Καλλιθέα,48,Παγκράτι
49,Μοσχάτο,Καλλιθέα,Αττική,Καλλιθέα,49,Παγκράτι
50,Πετράλωνα,Καλλιθέα,Αττική,Καλλιθέα,50,Παγκράτι
51,Ταύρος,Καλλιθέα,Αττική,Καλλιθέα,51,Παγκράτι
52,Τζιτζιφιές,Καλλιθέα,Αττική,Καλλιθέα,52,Καλλιθέα
53,Αμφιάλη ,Πειραιάς,Αττική,Πειραιάς - Δημ.Θέατρο,53,Παγκράτι
54,Δραπετσώνα,Πειραιάς - Δημ.Θέατρο,Αττική,Πειραιάς - Δημ.Θέατρο,54,Παγκράτι
55,Ελευσίνα,Περιστέρι,Αττική,Παγκράτι,55,Παγκράτι
56,Κερατσίνι,Πειραιάς - Δημ.Θέατρο,Αττική,Πειραιάς - Δημ.Θέατρο,56,Παγκράτι
57,Μάνδρα,Περιστέρι,Αττική,Παγκράτι,57,Παγκράτι
58,Πέραμα,Πειραιάς - Δημ.Θέατρο,Αττική,Πειραιάς - Δημ.Θέατρο,58,Παγκράτι
59,Χαραυγή,Πειραιάς - Δημ.Θέατρο,Αττική,Πειραιάς - Δημ.Θέατρο,59,Παγκράτι
60,Κοκκινιά,Περιστέρι,Αττική,Παγκράτι,60,Παγκράτι
61,Τουρκοβούνια (Κορυδαλλός),Πειραιάς - Δημ.Θέατρο,Αττική,Πειραιάς - Δημ.Θέατρο,61,Παγκράτι
62,Βοτανικός,Καλλιθέα,Αττική,Καλλιθέα,62,Παγκράτι
63,Αγία Βαρβάρα,Περιστέρι,Αττική,Παγκράτι,63,Παγκράτι
64,Άγιος Ιωάννης Ρέντη,Καλλιθέα,Αττική,Καλλιθέα,64,Παγκράτι
65,Κορυδαλλός,Πειραιάς,Αττική,Πειραιάς - Δημ.Θέατρο,65,Παγκράτι
66,Νεάπολη (Εξάρχεια),Παγκράτι,Αττική,Παγκράτι,66,Παγκράτι
67,Νίκαια,Πειραιάς - Δημ.Θέατρο,Αττική,Πειραιάς - Δημ.Θέατρο,67,Παγκράτι
68,Άνω Κυψέλη,Αμπελόκηποι,Αττική,Αμπελόκηποι,68,Παγκράτι
69,Άγιος Νικόλαος,Αμπελόκηποι,Αττική,Αμπελόκηποι,69,Παγκράτι
70,Ακαδημία Πλάτωνος,Καλλιθέα,Αττική,Καλλιθέα,70,Παγκράτι
71,Κολωνός,Καλλιθέα,Αττική,Καλλιθέα,71,Παγκράτι
72,Κυψέλη,Κυψέλη,Αττική,kypseli@grapsa.edu.gr,72,Παγκράτι
74,Κέντρο,Παγκράτι,Αττική,Παγκράτι,74,Παγκράτι
75,Πολύγωνο,Αμπελόκηποι,Αττική,Αμπελόκηποι,75,Παγκράτι
76,Άγιος Ελευθέριος,Πετρούπολη,Αττική,Πετρούπολη,76,Παγκράτι
77,Άνοιξη,Χαλάνδρι,Αττική,Χαλάνδρι,77,Παγκράτι
78,Δροσιά,Χαλάνδρι,Αττική,Χαλάνδρι,78,Παγκράτι
79,Εκάλη,Χαλάνδρι,Αττική,Χαλάνδρι,79,Παγκράτι
80,Κηφισιά,Χαλάνδρι,Αττική,Χαλάνδρι,80,Παγκράτι
81,Μαρούσι,Χαλάνδρι,Αττική,Χαλάνδρι,81,Παγκράτι
82,Νέα Ερυθραία,Χαλάνδρι,Αττική,Χαλάνδρι,82,Παγκράτι
83,Παράδεισος,Χαλάνδρι,Αττική,Χαλάνδρι,83,Παγκράτι
84,Πεύκη,Χαλάνδρι,Αττική,Χαλάνδρι,84,Παγκράτι
85,Θρακομακεδόνες,Γαλάτσι,Αττική,Πετρούπολη,85,Παγκράτι
86,Λυκόβρυση,Γαλάτσι,Αττική,galatsi@grapsa.edu.gr,86,Παγκράτι
87,Ηράκλειο,Χαλάνδρι,Αττική,Χαλάνδρι,87,Παγκράτι
88,Καλογρέζα,Χαλάνδρι,Αττική,Χαλάνδρι,88,Παγκράτι
89,Νέα Ιωνία,Χαλάνδρι,Αττική,Χαλάνδρι,89,Παγκράτι
90,Περισσός,Χαλάνδρι,Αττική,Χαλάνδρι,90,Παγκράτι
91,Νέα Φιλαδέλφεια,Πετρούπολη,Αττική,Πετρούπολη,91,Παγκράτι
92,Πευκάκια,Χαλάνδρι,Αττική,Χαλάνδρι,92,Παγκράτι
93,Αχαρνές,Πετρούπολη,Αττική,Πετρούπολη,93,Παγκράτι
94,Μενίδι,Πετρούπολη,Αττική,Πετρούπολη,94,Παγκράτι
95,Άνω Πατήσια,Αμπελόκηποι,Αττική,Αμπελόκηποι,95,Παγκράτι
96,Νέα Σμύρνη,Άγιος Δημήτριος,Αττική,Παγκράτι,96,Παγκράτι
97,Νέος Κόσμος,Άγιος Δημήτριος,Αττική,Παγκράτι,97,Παγκράτι
98,Βύρωνας,Παγκράτι,Αττική,Παγκράτι,98,Παγκράτι
99,Καισαριανή,Παγκράτι,Αττική,Παγκράτι,99,Παγκράτι
100,Κολωνάκι,Παγκράτι,Αττική,Παγκράτι,100,Παγκράτι
101,Μετς,Παγκράτι,Αττική,Παγκράτι,101,Παγκράτι
102,Μοναστηράκι,Παγκράτι,Αττική,Παγκράτι,102,Παγκράτι
103,Νέα Ελβετία,Παγκράτι,Αττική,Παγκράτι,103,Παγκράτι
104,Παγκράτι,Παγκράτι,Αττική,Παγκράτι,104,Παγκράτι
105,Κεραμεικός,Καλλιθέα,Αττική,Καλλιθέα,105,Παγκράτι
106,Άγιος Αρτέμιος,Παγκράτι,Αττική,Παγκράτι,106,Παγκράτι
107,Εξάρχεια,Κέντρο,Αττική,Παγκράτι,107,Παγκράτι
108,Καρέας,Παγκράτι,Αττική,Παγκράτι,108,Παγκράτι
109,Παλαιό Φάληρο,Καλλιθέα,Αττική,Πειραιάς - Δημ.Θέατρο,109,Παγκράτι
110,Βρυώνη,Πειραιάς - Δημ.Θέατρο,Αττική,Πειραιάς - Δημ.Θέατρο,110,Πειραιάς - Δημ.Θέατρο
111,Ευαγγελίστρια,Πειραιάς - Δημ.Θέατρο,Αττική,Πειραιάς - Δημ.Θέατρο,111,Πειραιάς - Δημ.Θέατρο
112,Ζέα,Πειραιάς - Δημ.Θέατρο,Αττική,Πειραιάς - Δημ.Θέατρο,112,Πειραιάς - Δημ.Θέατρο
113,Καλλίπολη,Πειραιάς - Δημ.Θέατρο,Αττική,Πειραιάς - Δημ.Θέατρο,113,Παγκράτι
114,Καμίνια,Πειραιάς - Δημ.Θέατρο,Αττική,Πειραιάς - Δημ.Θέατρο,114,Παγκράτι
115,Καστέλλα / Πειραϊκη,Πειραιάς - Δημ.Θέατρο,Αττική,Πειραιάς - Δημ.Θέατρο,115,Πειραιάς - Δημ.Θέατρο
116,Μικρολίμανο,Πειραιάς - Δημ.Θέατρο,Αττική,Πειραιάς - Δημ.Θέατρο,116,Πειραιάς - Δημ.Θέατρο
117,Νέο Φάληρο,Πειραιάς - Δημ.Θέατρο,Αττική,Πειραιάς - Δημ.Θέατρο,117,Πειραιάς - Δημ.Θέατρο
